onset	duration	seconds	time	event
+0.708984375	+0.8056640625	0.708984375	0:00:00708	Montage Event
+1.333984375	+1.375	1.333984375	0:00:01333	Video Recording ON
+137.708984375	+137.75	137.708984375	0:02:17708	Clip Note
+143.083984375	+143.181640625	143.083984375	0:02:2383	RMF11-12
+287.708984375	+287.75	287.708984375	0:04:47708	Clip Note
+293.083984375	+293.1796875	293.083984375	0:04:5383	RAIn 3-5
+479.708984375	+479.732421875	479.708984375	0:07:59708	Clip Note
+485.333984375	+485.408203125	485.333984375	0:08:05333	RAIn 3- 5
+490.458984375	+490.5546875	490.458984375	0:08:10458	RMF 11 - 12
+491.958984375	+491.9658203125	491.958984375	0:08:11958	Breakout box disconnected.
+546.083984375	+546.130859375	546.083984375	0:09:0683	Breakout box reconnected.
+652.583984375	+652.69140625	652.583984375	0:10:52583	Clip Note
+655.958984375	+656.052734375	655.958984375	0:10:55958	RAIn 3-5
+666.333984375	+666.3359375	666.333984375	0:11:06333	RMF 11 - 12
+886.708984375	+886.744140625	886.708984375	0:14:46708	Clip Note
+898.333984375	+898.435546875	898.333984375	0:14:58333	RMF 11-12
+907.583984375	+907.65234375	907.583984375	0:15:07583	RAIn 3-5
+2225.583984375	+2225.66015625	2225.583984375	0:37:05583	X
+2520.083984375	+2520.0859375	2520.083984375	0:42:0083	RMF 11 - 12
+2654.833984375	+2654.91015625	2654.833984375	0:44:14833	RAIn 3-5
+3570.083984375	+3570.193359375	3570.083984375	0:59:3083	RMF 11 - 12
+4176.833984375	+4176.931640625	4176.833984375	1:09:36833	RMF 11 - 12
+4898.583984375	+4898.6875	4898.583984375	1:21:38583	LPF21-23
+5015.708984375	+5015.787109375	5015.708984375	1:23:35708	LPF21-23
+5084.583984375	+5084.68359375	5084.583984375	1:24:44583	X
+5219.958984375	+5219.98828125	5219.958984375	1:26:59958	LPF21-23
+5377.708984375	+5377.73046875	5377.708984375	1:29:37708	Clip Note
+5384.458984375	+5384.517578125	5384.458984375	1:29:44458	LPF 21
+5467.708984375	+5467.740234375	5467.708984375	1:31:07708	Clip Note
+5473.583984375	+5473.697265625	5473.583984375	1:31:13583	X
+7634.708984375	+7634.78125	7634.708984375	2:07:14708	X
+7809.708984375	+7809.76171875	7809.708984375	2:10:09708	Clip Note
+8353.708984375	+8353.765625	8353.708984375	2:19:13708	Clip Note
+8613.708984375	+8613.755859375	8613.708984375	2:23:33708	Clip Note
+8678.458984375	+8678.55078125	8678.458984375	2:24:38458	RAIn 2-5
+8707.708984375	+8707.75	8707.708984375	2:25:07708	Clip Note
+12325.708984375	+12325.767578125	12325.708984375	3:25:25708	Clip Note
+12336.833984375	+12336.880859375	12336.833984375	3:25:36833	RMF 11 - 12
+13989.708984375	+13989.712890625	13989.708984375	3:53:09708	Clip Note
+13996.708984375	+13996.763671875	13996.708984375	3:53:16708	RAIn 3-5
+13999.208984375	+13999.2734375	13999.208984375	3:53:19208	RMF 11 - 12
+19865.083984375	+19865.14453125	19865.083984375	5:31:0583	LPF21-23
+20826.708984375	+20826.763671875	20826.708984375	5:47:06708	Clip Note
+23551.708984375	+23551.71484375	23551.708984375	6:32:31708	Clip Note
+24861.208984375	+24861.2890625	24861.208984375	6:54:21208	awake sample
+26404.708984375	+26404.771484375	26404.708984375	7:20:04708	Clip Note
+29367.708984375	+29367.740234375	29367.708984375	8:09:27708	Clip Note
+29795.708984375	+29795.7578125	29795.708984375	8:16:35708	RAIn 3-5
+29916.708984375	+29916.78515625	29916.708984375	8:18:36708	C
+31311.708984375	+31311.763671875	31311.708984375	8:41:51708	X
+33448.708984375	+33448.765625	33448.708984375	9:17:28708	Clip Note
+33851.833984375	+33851.9453125	33851.833984375	9:24:11833	LPF 21-23
+34448.708984375	+34448.765625	34448.708984375	9:34:08708	Clip Note
+40155.708984375	+40155.7578125	40155.708984375	11:09:15708	Clip Note
+42152.708984375	+42152.75	42152.708984375	11:42:32708	Clip Note
+44413.708984375	+44413.755859375	44413.708984375	12:20:13708	Clip Note
+49258.083984375	+49258.166015625	49258.083984375	13:40:5883	LPF 21-23
+54742.708984375	+54742.75	54742.708984375	15:12:22708	Clip Note
+55213.958984375	+55214.041015625	55213.958984375	15:20:13958	Breakout box disconnected.
+55463.333984375	+55463.3662109375	55463.333984375	15:24:23333	Breakout box reconnected.
+59170.208984375	+59170.259765625	59170.208984375	16:26:10208	x
+61993.958984375	+61994.056640625	61993.958984375	17:13:13958	sleep
+64037.708984375	+64037.828125	64037.708984375	17:47:17708	RMF19-110
+64290.708984375	+64290.71875	64290.708984375	17:51:30708	Clip Note
+72523.708984375	+72523.78125	72523.708984375	20:08:43708	Clip Note
+72525.583984375	+72525.65625	72525.583984375	20:08:45583	LARVAL SEIZURE RMF 11-12?
+74747.333984375	+74747.44140625	74747.333984375	20:45:47333	sleep
+77283.958984375	+77283.966796875	77283.958984375	21:28:03958	RAIn 3-5
+85723.583984375	+85723.634765625	85723.583984375	23:48:43583	Study restarting
